"Text";"Code"
"Melioidosis UNS";"DA244"
"Rat bite fever diseases";"DA25"
"Spirillosis";"DA250"
"Sodoku";"DA250A"
"Streptobacillosis";"DA251"
"Rat bite fever UNS";"DA259"
"The Pig Rose";"DA26"
"Cutaneous erysipeloid";"DA260"
"Sepsis caused by Erysipelothrix rhusiopathiae";"DA267"
"Other form of erysipeloid";"DA268"
"Erysipeloid UNS";"DA269"
"Leptospirosis";"DA27"
"Weil's disease";"DA270"
"Other leptospirosis";"DA278"
"Leptospirosis UNS";"DA279"
"Other animal-borne bacterial infections IKA";"DA28"
"Pasteurellosis";"DA280"
"Cat scratch fever";"DA281"
"Yersinia infection outside the gastrointestinal tract";"DA282"
"Yersinia sepsis";"DA282B"
"Other animal-borne bacterial infection";"DA288"
"Animal-borne bacterial infection UNS";"DA289"
"Other bacterial diseases [DA30-DA49]";""
"Leprosy";"DA30"
"Early leprosy";"DA300"
"Tuberculoid leprosy";"DA301"
"Borderline tuberculoid leprosy";"DA302"
"Borderline leprosy";"DA303"
"Borderline lepromatous leprosy";"DA304"
"Lepromatous leprosy";"DA305"
"Other form of leprosy";"DA308"
"Leprosy UNS";"DA309"
"Diseases caused by other mycobacteria";"DA31"
"Mycobacterial lung disease";"DA310"
"Pulmonary infection with Mycobacterium avium";"DA310A"
"Pulmonary infection with Mycobacterium intracellularis";"DA310B"
"Pulmonary infection with Mycobacterium kansasii";"DA310C"
"Mycobacterial skin affection";"DA311"
"Skin infection with Mycobacterium marinum";"DA311A"
"Skin infection with Mycobacterium ulcerans";"DA311B"
"Other mycobacterial infection";"DA318"
"Mycobacterial infection UNS";"DA319"
"Listeriosis";"DA32"
"Listeriosis of the skin";"DA320"
"Listeriosis in the central nervous system";"DA321"
"Listeriasepsis";"DA327"
"Other form of listeriosis";"DA328"
"Oculoglandular listeriosis";"DA328A"
"Listeriosis UNS";"DA329"
"Tetanus in newborns";"DA33"
"Neonatal tetanus";"DA339"
"Obstetric tetanus";"DA34"
"Tetanus during the postpartum period";"DA349"
"Other form of tetanus";"DA35"
"Tetanus IKA";"DA359"
"Diphtheria";"DA36"
"Diphtheria pharyngitis";"DA360"
"Tonsillar diphtheria";"DA360A"
"Diphtheria of the nasopharynx";"DA361"
"Laryngeal diphtheria";"DA362"
"Diphtheria laryngotracheitis";"DA362A"
"Diphtheria of the skin";"DA363"
"Diphtheria of another type";"DA368"
"Diphtheria UNS";"DA369"
"Whooping cough";"DA37"
"Whooping cough caused by Bordetella pertussis";"DA370"
"Whooping cough caused by Bordetella parapertussis";"DA371"
"Whooping cough caused by other Bordetella type";"DA378"
"Whooping cough UNS";"DA379"
"Scarlet fever";"DA38"
"Scarlet Fever UNS";"DA389"
"Meningococcal infections";"DA39"
"Meningitis caused by meningococci";"DA390"
"Waterhouse-Friderichsen syndrome";"DA391"
"Acute meningococcal bacteremia";"DA392"
"Meningococcal sepsis";"DA392A"
"Chronic meningococcal bacteremia";"DA393"
"Meningococcal bacteremia UNS";"DA394"
"Heart disease caused by meningococci";"DA395"
"Other meningococcal infection";"DA398"
"Meningococcal infection UNS";"DA399"
"Sepsis caused by streptococci";"DA40"
"Sepsis caused by Streptococcus A";"DA400"
"Sepsis caused by Streptococcus B";"DA401"
"Sepsis caused by Streptococcus D and Enterococcus";"DA402"
"Sepsis caused by Streptococcus pneumoniae";"DA403"
"Other streptococcal sepsis";"DA408"
"Streptococcal sepsis UNS";"DA409"
"Other sepsis";"DA41"
"Sepsis caused by Staphylococcus aureus";"DA410"
"Sepsis caused by other staphylococcus";"DA411"
"Sepsis caused by coagulase-negative staphylococci";"DA411A"
"Sepsis caused by staphylococci UNS";"DA412"
"Sepsis caused by Haemophilus influenzae";"DA413"
"Sepsis caused by anaerobic bacteria";"DA414"
"Sepsis caused by other Gram-negative organism";"DA415"
"Sepsis caused by Escherichia coli";"DA415A"
"Other sepsis IKA";"DA418"
"Sepsis UNS";"DA419"
"Urosepsis";"DA419B"
"Severe sepsis";"DA419C"
"Actinomycosis";"DA42"
"Pulmonary actinomycosis";"DA420"
"Abdominal actinomycosis";"DA421"
"Cervicofacial actinomycosis";"DA422"
"Sepsis caused by actinomycosis";"DA427"
"Other form of actinomycosis";"DA428"
"Actinomycosis UNS";"DA429"
"Nocardiosis";"DA43"
"Pulmonary nocardiosis";"DA430"
"Cutaneous nocardiosis";"DA431"
"Other form of nocardiosis";"DA438"
"Nocardiosis UNS";"DA439"
"Bartonellosis";"DA44"
"Systemic bartonellosis";"DA440"
"Cutaneous and mucocutaneous bartonellosis";"DA441"
"Other form of bartonellosis";"DA448"
"Bartonellosis UNS";"DA449"
"The Rose";"DA46"
"The Rose UNS";"DA469"
"Other bacterial diseases IKA";"DA48"
"Gas gangrene";"DA480"
"Legionnaires' disease";"DA481"
"Pontiac fever";"DA482"
"Toxic shock syndrome";"DA483"
"Brazilian purpura";"DA484"
"Systemic Haemophilus aegypticus infection";"DA484A"
"Other bacterial disease";"DA488"
"Trichomycosis axillaris";"DA488A"
"Bacterial infection without specification of location";"DA49"
"Staphylococcal infection UNS";"DA490"
"Streptococcal and/or enterococcal infection, unspecified site";"DA491"
"Infection with Haemophilus influenzae UNS";"DA492"
"Mycoplasma infection UNS";"DA493"
"Other bacterial infection without specification of site";"DA498"
"Bacterial infection UNS";"DA499"
"Bacteremia UNS";"DA499A"
"Infections that are predominantly sexually transmitted [DA50-DA64]";""
"Congenital syphilis";"DA50"
"Early congenital symptomatic syphilis";"DA500"
"Early congenital latent syphilis";"DA501"
"Early congenital syphilis UNS";"DA502"
"Late congenital syphilitic eye disease";"DA503"
"Late congenital neurosyphilis";"DA504"
"Other late congenital symptomatic syphilis";"DA505"
"Hutchinson's triad";"DA505A"
"Hutchinson's teeth";"DA505B"
"Syphilitic saddle nose";"DA505C"
"Late congenital seropositive syphilis without clinical manifestations";"DA506"
"Late congenital syphilis UNS";"DA507"
"Congenital syphilis UNS";"DA509"
"Fresh syphilis";"DA51"
"Primary genital syphilis";"DA510"
"Primary anal syphilis";"DA511"
"Primary syphilis of other localization";"DA512"
"Secondary syphilis of skin or mucous membranes";"DA513"
"Condyloma syphiliticum";"DA513A"
"Syphilitic mucous plaque";"DA513F"
"Other secondary syphilis";"DA514"
"Syphilitic lymph node tumor";"DA514A"
"Fresh latent syphilis";"DA515"
"Fresh syphilis UNS";"DA519"
"Late stage syphilis";"DA52"
"Cardiovascular syphilis";"DA520"
"Late Symptomatic Neurosyphilis";"DA521"
"Tabes dorsalis";"DA521D"
"Asymptomatic neurosyphilis";"DA522"
"Neurosyphilis UNS";"DA523"
"Other form of late symptomatic syphilis";"DA527"
"Syphilitic gumma";"DA527A"
"Other form of late or tertiary syphilis";"DA527C"
"Late latent syphilis";"DA528"
"Late stage syphilis UNS";"DA529"
"Other syphilis and syphilis UNS";"DA53"
"Latent syphilis without specification of stage";"DA530"
"Syphilis UNS";"DA539"
"Gonorrhea";"DA54"
"Gonococcal infection of lower urinary and genital organs without abscess of periurethral or accessory glands";"DA540"
"Gonorrheal cervicitis UNS";"DA540A"
"Gonorrheal cystitis UNS";"DA540B"
"Gonorrheal urethritis UNS";"DA540D"
"Gonorrheal vulvovaginitis UNS";"DA540E"
"Gonorrheal balanoposthitis";"DA540F"
"Gonococcal infection of lower urinary and genital organs with abscess in periurethral or accessory glands";"DA541"
"Urogenital gonorrheal abscess";"DA541A"
"Gonorrhea bartholinitis";"DA541B"
"Gonorrheal pelvioperitonitis or other gonorrheal urogenital infection";"DA542"
"Gonococcal infection of the eye";"DA543"
"Gonorrheal purulent conjunctivitis in newborn";"DA543A"
"Gonococcal infection of joints and muscles";"DA544"
"Gonococcal infection of the pharynx";"DA545"
"Gonococcal infection of the anus and rectum";"DA546"
"Other gonococcal infection";"DA548"
"Gonorrheal dermatitis";"DA548B"
"Gonorrheal sepsis";"DA548G"
"Gonococcal infection UNS";"DA549"
"Lymphoma venereum caused by chlamydia infection";"DA55"
"Lymphogranuloma caused by Chlamydia";"DA559"
"Other sexually transmitted chlamydial infections";"DA56"
"Chlamydia infection of the lower urinary and genital organs";"DA560"
"Chlamydiacervicitis";"DA560A"
"Chlamydiacystitis";"DA560C"
"Chlamydia urethritis";"DA560D"
"Vulvovaginitis caused by chlamydia";"DA560E"
"Chlamydia infection of the lower pelvis or other urinary and genital organs";"DA561"
"Chlamydia infection of the urinary and genital organs UNS";"DA562"
"Chlamydia infection of the anus and rectum";"DA563"
"Chlamydia infection in the pharynx";"DA564"
"Sexually transmitted chlamydia infection of other localization";"DA568"
"Soft chancre";"DA57"
"Ulcus molle UNS";"DA579"
"Granuloma caused by infection with Calymmatobacterium granulomatis";"DA58"
"Granuloma inguinale UNS";"DA589"
"Infections with Trichomonas vaginalis";"DA59"
"Trichomoniasis of the urinary and genital organs";"DA590"
"Vaginal discharge caused by trichomoniasis";"DA590A"
"Trichomonas vaginitis";"DA590C"
"Trichomoniasis with other localization";"DA598"
"Trichomoniasis UNS";"DA599"
"Herpes simplex infection of the anogenital region";"DA60"
"Herpes simplex infection of the urinary and genital organs";"DA600"
"Herpes simplex infection of the anal region and rectum";"DA601"
"Herpes simplex infection of the anus";"DA601A"
"Herpes simplex infection of the perianal region";"DA601B"
"Herpes simplex infection of rectum";"DA601C"
"Herpes simplex infection of the anogenital region UNS";"DA609"
"Other predominantly sexually transmitted diseases, not elsewhere classified";"DA63"
"Condyloma acuminatum in the anogenital region";"DA630"
"Urethral condylomas";"DA630B"
"Genital warts";"DA630C"
"Anal condylomas";"DA630D"
"Extragenital condylomas";"DA630E"
"Other predominantly sexually transmitted disease IKA";"DA638"
"Gardnerella infection";"DA638A"
"Sexually transmitted disease without further specification";"DA64"
"Sexually transmitted disease UNS";"DA649"
"Other diseases caused by spirochetes [DA65-DA69]";""
"Non-venereal syphilis";"DA65"
"Non-venereal syphilis UNS";"DA659"
"Yarmbusia";"DA66"
"Early yaws";"DA660"
"Multiple yaws papillomas";"DA661"
"Other early skin symptom of yaws";"DA662"
"Hyperkeratosis in frambosia";"DA663"
"Gumma and wounds in frambösia";"DA664"
"Rhinopharyngitis mutilans in frambosia";"DA665"
"Bone and joint changes in yaws";"DA666"
"Other manifestation of yaws";"DA667"
"Latent yaws";"DA668"
"Yarb UNS";"DA669"
"Pinta";"DA67"
"Primary manifestation at pinta";"DA670"
"Secondary manifestation at pinta";"DA671"
"Late manifestation at pinta";"DA672"
"Mixed manifestations at pinta";"DA673"
"Pinta UNS";"DA679"
"Relapsing fever";"DA68"
"Relapsing fever transmitted by lice";"DA680"
"Tick-borne relapsing fever";"DA681"
"Relapsing fever UNS";"DA689"
"Other infections caused by spirochetes";"DA69"
"Necrotizing ulcerative stomatitis";"DA690"
"Cancrum oris";"DA690A"
"Noma";"DA690B"
"Ulcerative stomatitis Vincent";"DA690C"
"Second Vincent infection";"DA691"
"Ulcerative angina Vincent";"DA691A"
"Pharyngitis caused by spirochete infection";"DA691B"
"Vincent's angina";"DA691C"
"Acute necrotizing ulcerative stomatitis";"DA691E"
"Vincent's Gingivitis";"DA691F"
"Pharyngitis caused by fusospirochete infection";"DA691G"
"Lyme disease";"DA692"
"Chronic atrophic acrodermatitis";"DA692A"
"Borrelia polyradiculitis";"DA692D"
"Erythema chronicum migrans";"DA692F"
"Other spirochete infection";"DA698"
"Spirochete infection UNS";"DA699"
"Other diseases caused by Chlamydia bacteria [DA70-DA74]";""
"Infections caused by Chlamydophila psittaci";"DA70"
"Chlamydophila psittaci infection";"DA709"
"Egyptian eye disease";"DA71"
"Early stage of trachoma";"DA710"
"Active stage of trachoma";"DA711"
"Trachoma UNS";"DA719"
"Other diseases caused by chlamydia bacteria";"DA74"
"Chlamydial conjunctivitis";"DA740"
"Other chlamydia infection";"DA748"
"Chlamydia infection UNS";"DA749"
"Rickettsia infections [DA75-DA79]";""
"Rickettsioses transmitted by lice, fleas and mites";"DA75"
"Typhoid fever caused by Rickettsia prowazekii";"DA750"
"Brill-Zinsser disease";"DA751"
"Typhoid fever caused by Rickettsia typhi";"DA752"
"Typhoid fever caused by Rickettsia tsutsugamushi";"DA753"
"Spottyfus UNS";"DA759"
"Tick-borne Rickettsioses";"DA77"
"Rickettsiosis caused by Rickettsia rickettsii";"DA770"
"Rickettsiosis caused by Rickettsia conorii";"DA771"
"Rickettsiosis caused by Rickettsia sibirica";"DA772"
"Rickettsiosis caused by Rickettsia australis";"DA773"
"Other tick-borne rickettsiosis";"DA778"
"Tick-borne rickettsiosis UNS";"DA779"
"Q fever";"DA78"
"Q fever UNS";"DA789"
"Other rickettsioses";"DA79"
"Trench fever";"DA790"
"Rickettsiosis caused by Rickettsia akari";"DA791"
"Other rickettsiosis";"DA798"
"Rickettsiosis caused by Neorickettsia sennetsu [Ehrlichia sennetsu]";"DA798A"
"Rickettsiosis caused by Ehrlichia phagocytophila";"DA798B"
"Rickettsiosis UNS";"DA799"
"Viral infections of the central nervous system [DA80-DA89]";""
"Acute polio";"DA80"
"Acute polio with paralysis caused by vaccine";"DA800"
"Acute polio with paralysis caused by imported wild virus";"DA801"
"Acute polio with paralysis caused by domestic wild virus";"DA802"
"Other or unspecified acute polio with paralysis";"DA803"
"Acute polio without paralysis";"DA804"
"Acute polio UNS";"DA809"
"Atypical viral infections of the central nervous system";"DA81"
"Creutzfeldt-Jakob disease";"DA810"
"Subacute sclerosing panencephalitis";"DA811"
"Progressive multifocal leukoencephalopathy";"DA812"
"Other atypical viral infection of the central nervous system";"DA818"
"Kuru";"DA818A"
"Fatal Familial Insomnia";"DA818B"
"Atypical viral infection of the central nervous system UNS";"DA819"
"Prion disease of the central nervous system UNS";"DA819A"
"Mad Dog";"DA82"
"Sylvatic rabies (lyssavirus type 1)";"DA820"
"Bat rabies (European Bat Lyssavirus - EBL)";"DA821"
"Rabies UNS";"DA829"
"Viral encephalitis transmitted by mosquitoes";"DA83"
"Japanese encephalitis";"DA830"
"Encephalomyelitis equina occidentalis";"DA831"
"Encephalomyelitis equina orientalis";"DA832"
"St Louis encephalitis";"DA833"
"Australian encephalitis";"DA834"
"California encephalitis";"DA835"
"Rocio virus encephalitis";"DA836"
"Other mosquito-borne viral encephalitis";"DA838"
"Viral encephalitis transmitted by mosquitoes UNS";"DA839"
"Tick-borne viral encephalitis";"DA84"
"Encephalitis viralis occidentalis";"DA840"
"Central European tick-borne viral encephalitis";"DA841"
"Other tick-borne viral encephalitis";"DA848"
"Tick-borne viral encephalitis UNS";"DA849"
"Viral encephalitis IKA";"DA85"
"Encephalitis caused by enterovirus";"DA850"
"Encephalitis caused by adenovirus";"DA851"
"Arthropod-borne viral encephalitis UNS";"DA852"
"Other viral encephalitis";"DA858"
"Encephalitis lethargica";"DA858A"
"Viral encephalitis UNS";"DA86"
"Viral encephalitis UNS";"DA869"
"Viral meningitis IKA";"DA87"
"Meningitis caused by enterovirus";"DA870"
"Meningitis caused by coxsackievirus";"DA870A"
"Meningitis caused by echovirus";"DA870B"
"Meningitis caused by adenovirus";"DA871"
"Lymphocytic choriomeningitis";"DA872"
"Lymphocytic meningoencephalitis";"DA872A"
"Other viral meningitis";"DA878"
"Viral meningitis UNS";"DA879"
"Other viral infections of the central nervous system IKA";"DA88"
"Febris enteroviralis exanthematica";"DA880"
"Epidemic vertigo";"DA881"
"Other viral infection of the central nervous system IKA";"DA888"
"Viral infections of the central nervous system UNS";"DA89"
"Viral infection of the central nervous system UNS";"DA899"
"Arthropod-borne viral febrile diseases and viral hemorrhagic fever diseases [DA92-DA99]";""
"Other viral fever diseases transmitted by mosquitoes";"DA92"
"Chikungunya virus disease";"DA920"
"O'nyong-nyong fever";"DA921"
"Venezuelan equine encephalitis";"DA922"
"West Nile fever";"DA923"
"Rift Valley fever";"DA924"
"Zika virus disease";"DA925"
"Other viral fever disease transmitted by mosquitoes";"DA928"
"Viral fever disease transmitted by mosquitoes UNS";"DA929"
"Other viral febrile diseases transmitted by arthropods IKA";"DA93"
"Oropouche virus disease";"DA930"
"Sandfly fever";"DA931"
"Colorado tick fever";"DA932"
"Other viral febrile disease transmitted by arthropods";"DA938"
"Viral febrile disease transmitted by arthropods UNS";"DA94"
"Arthropod-borne viral febrile disease UNS";"DA949"
"Yellow fever";"DA95"
"Sylvatic yellow fever";"DA950"
"Urban yellow fever";"DA951"
"Yellow fever UNS";"DA959"
"Arenaviral febrile diseases with bleeding";"DA96"
"Junin hemorrhagic fever";"DA960"
"Machupo hemorrhagic fever";"DA961"
"Lassa fever";"DA962"
"Other arenaviral febrile illness with hemorrhage";"DA968"
"Arenaviral fever with hemorrhages UNS";"DA969"
"Dengue";"DA97"
"Dengue without warning signs";"DA970"
"Dengue with warning signs";"DA971"
"Severe Dengue";"DA972"
"Dengue UNS";"DA979"
"Other viral febrile diseases with bleeding";"DA98"
"Crimean-Congo hemorrhagic fever";"DA980"
"Omsk hemorrhagic fever";"DA981"
"Kyasanur fever";"DA982"
"Marburg fever";"DA983"
"Ebola virus disease";"DA984"
"Hemorrhagic fever with renal syndrome";"DA985"
"Epidemic hemorrhagic fever";"DA985A"
"Hantavirus disease";"DA985B"
"Epidemic nephropathy";"DA985C"
"Other viral febrile illness with bleeding";"DA988"
"Viral febrile diseases with bleeding UNS";"DA99"
"Viral febrile illness with bleeding UNS";"DA999"
"Viral infections characterized by skin and mucous membrane affections [DB00-DB09]";""
"Herpes simplex infection";"DB00"
"Herpes eczema";"DB000"
"Herpes outbreak with blisters";"DB001"
"Facial herpes";"DB001A"
"Herpes labialis";"DB001B"
"Otitis externa caused by Herpes simplex virus";"DB001C"
"Gingivostomatitis or pharyngotonsillitis caused by Herpes simplex virus";"DB002"
"Gingivostomatitis caused by Herpes simplex virus";"DB002A"
"Pharyngotonsillitis caused by Herpes simplex virus";"DB002B"
"Pharyngitis caused by Herpes simplex virus";"DB002C"
"Meningitis caused by Herpes simplex virus";"DB003"
"Encephalitis caused by Herpes simplex virus";"DB004"
"Meningoencephalitis caused by Herpes simplex virus";"DB004A"
"Herpes simplex infection of the eye";"DB005"
"Herpes generalisata";"DB007"
"Other form of Herpes simplex virus infection";"DB008"
"Infection with Herpes simplex virus UNS";"DB009"
"Chickenpox";"DB01"
"Meningitis caused by Varicella zoster";"DB010"
"Encephalitis caused by Varicella zoster";"DB011"
"Encephalomyelitis caused by Varicella zoster";"DB011A"
"Pneumonia caused by Varicella zoster";"DB012"
"Chickenpox with other complication";"DB018"
"Chickenpox UNS";"DB019"
"Zoster";"DB02"
"Herpes zoster encephalitis";"DB020"
"Herpes zoster meningoencephalitis";"DB020A"
"Herpes zoster meningitis";"DB021"
"Herpes zoster with other nervous system complication";"DB022"
"Herpes zoster in the eye";"DB023"
"Disseminated herpes zoster";"DB027"
"Herpes zoster infection with other complication";"DB028"
"Herpes zoster infection without complication";"DB029"
"Copper";"DB03"
"Copper UNS";"DB039"
"Monkeypox";"DB04"
"Monkeypox (monkeypox) UNS";"DB049"
"Measles";"DB05"
"Measles complicated with encephalitis";"DB050"
"Measles complicated with meningitis";"DB051"
"Measles complicated with pneumonia";"DB052"
"Measles complicated with otitis media";"DB053"
"Measles with intestinal complications";"DB054"
"Measles with other complications";"DB058"
"Measles without complications";"DB059"
"Red dogs";"DB06"
"Red dogs with neurological complications";"DB060"
"Red dogs with other complications";"DB068"
"Red dogs without complications";"DB069"
"Viral warts";"DB07"
"Verrucae virales UNS";"DB079"
"Verruca plana juvenilis";"DB079A"
"Plantar verruca";"DB079C"
"Epidermodysplasia verruciformis";"DB079D"
"Other viral diseases characterized by skin and mucous membrane affections IKA";"DB08"
"Other poxvirus infection";"DB080"
"Milker's nodule";"DB080A"
